id;file;channel;mean;deviation;3rd;uniformity;entropy;4th
60;database/benigno/benigno (20).tif;green;75.183;24.479;17117.371;0.016;6.444;2255332.073
61;database/maligno/maligno (1).tif;green;36.289;32.904;99381.251;0.018;6.319;14958816.461
62;database/maligno/maligno (2).tif;green;41.890;46.647;276668.507;0.017;6.410;48397623.266
63;database/maligno/maligno (3).tif;green;51.741;39.358;160468.762;0.013;6.635;26689223.331
64;database/maligno/maligno (4).tif;green;47.338;28.811;53927.166;0.016;6.412;6927784.891
65;database/maligno/maligno (5).tif;green;102.081;61.920;246399.233;0.008;7.326;42899441.816
66;database/maligno/maligno (6).tif;green;49.417;30.340;52496.484;0.012;6.635;7379844.753
67;database/maligno/maligno (7).tif;green;34.471;33.363;95205.060;0.019;6.296;13167186.060
68;database/maligno/maligno (8).tif;green;49.822;69.433;605224.208;0.025;6.135;108032502.329
69;database/maligno/maligno (9).tif;green;56.592;45.796;194676.189;0.011;6.898;31146609.364
70;database/maligno/maligno (10).tif;green;65.268;73.884;568967.729;0.015;6.658;100439216.370
71;database/maligno/maligno (11).tif;green;49.209;40.012;151997.970;0.014;6.656;23470070.692
72;database/maligno/maligno (12).tif;green;58.265;35.070;85969.166;0.012;6.758;12167801.189
73;database/maligno/maligno (13).tif;green;47.066;60.506;444785.193;0.023;6.246;76100124.772
74;database/maligno/maligno (14).tif;green;58.403;61.257;403469.515;0.014;6.736;67420430.061
75;database/maligno/maligno (15).tif;green;60.549;29.268;34451.633;0.011;6.733;4864969.185
76;database/maligno/maligno (16).tif;green;64.947;46.830;179981.509;0.011;6.974;26825647.503
77;database/maligno/maligno (17).tif;green;73.756;74.042;465589.838;0.012;6.902;79925015.074
78;database/maligno/maligno (18).tif;green;41.803;28.811;56318.006;0.016;6.366;6925039.451
79;database/maligno/maligno (19).tif;green;41.368;37.358;124553.178;0.018;6.371;16888844.196
80;database/maligno/maligno (20).tif;green;45.081;44.698;191356.183;0.016;6.587;28784345.415
81;database/benigno/benigno (1).tif;blue;111.703;36.064;89630.735;0.014;6.627;11329759.491
82;database/benigno/benigno (2).tif;blue;74.274;22.235;24240.161;0.017;6.222;2977292.578
83;database/benigno/benigno (3).tif;blue;169.038;29.460;-9239.152;0.010;6.892;2738629.720
84;database/benigno/benigno (4).tif;blue;90.607;33.940;62981.270;0.012;6.785;8028024.765
85;database/benigno/benigno (5).tif;blue;120.279;23.841;7243.740;0.013;6.575;1340648.675
86;database/benigno/benigno (6).tif;blue;115.317;64.035;228621.753;0.011;6.941;35849352.863
87;database/benigno/benigno (7).tif;blue;104.132;11.950;-43.316;0.025;5.616;69030.444
88;database/benigno/benigno (8).tif;blue;113.774;50.414;105049.009;0.007;7.377;16750889.605
89;database/benigno/benigno (9).tif;blue;104.482;14.790;895.964;0.020;5.917;171557.730
90;database/benigno/benigno (10).tif;blue;174.265;23.103;3016.913;0.014;6.502;1195368.704
91;database/benigno/benigno (11).tif;blue;170.118;31.612;4155.448;0.009;6.994;2677825.258
92;database/benigno/benigno (12).tif;blue;123.765;53.729;167082.059;0.010;6.959;23466403.542
93;database/benigno/benigno (13).tif;blue;182.721;32.134;-10681.702;0.009;7.010;2946578.631
94;database/benigno/benigno (14).tif;blue;135.237;46.094;50204.319;0.006;7.434;11237864.713
95;database/benigno/benigno (15).tif;blue;151.074;36.906;21917.897;0.008;7.146;4556653.419
96;database/benigno/benigno (16).tif;blue;153.833;42.721;6871.880;0.007;7.397;8467202.808
97;database/benigno/benigno (17).tif;blue;132.159;70.900;112905.711;0.011;7.084;34952748.099
98;database/benigno/benigno (18).tif;blue;147.391;35.343;19589.167;0.009;7.091;4009109.095
99;database/benigno/benigno (19).tif;blue;83.936;29.938;43007.425;0.013;6.627;4941717.586
100;database/benigno/benigno (20).tif;blue;114.178;22.212;11081.832;0.017;6.354;1287544.316
101;database/maligno/maligno (1).tif;blue;74.297;32.161;62803.136;0.013;6.656;8131405.758
102;database/maligno/maligno (2).tif;blue;73.368;42.385;171127.897;0.014;6.604;25253330.457
103;database/maligno/maligno (3).tif;blue;93.416;35.539;76710.776;0.011;6.856;11071915.301
104;database/maligno/maligno (4).tif;blue;96.583;27.436;29250.250;0.013;6.598;3416250.857
105;database/maligno/maligno (5).tif;blue;146.292;45.959;66552.863;0.008;7.182;11264643.038
106;database/maligno/maligno (6).tif;blue;100.846;29.045;25575.052;0.011;6.785;3532334.072
107;database/maligno/maligno (7).tif;blue;71.405;34.292;68685.539;0.012;6.786;8888963.271
108;database/maligno/maligno (8).tif;blue;75.985;61.976;383579.630;0.016;6.587;60395749.697
109;database/maligno/maligno (9).tif;blue;96.651;41.328;98676.062;0.009;7.069;14374102.575
110;database/maligno/maligno (10).tif;blue;96.457;62.887;295583.669;0.010;7.003;45791267.810
111;database/maligno/maligno (11).tif;blue;87.749;36.780;88443.248;0.012;6.814;11741695.014
112;database/maligno/maligno (12).tif;blue;109.334;31.042;37931.834;0.011;6.808;4809771.633
113;database/maligno/maligno (13).tif;blue;77.968;53.841;271610.520;0.016;6.599;39898010.917
114;database/maligno/maligno (14).tif;blue;94.782;52.113;196875.748;0.010;7.037;28334703.684
115;database/maligno/maligno (15).tif;blue;112.396;27.436;12685.410;0.011;6.763;2404648.676
116;database/maligno/maligno (16).tif;blue;108.883;39.713;77626.477;0.010;7.040;10298969.183
117;database/maligno/maligno (17).tif;blue;107.385;62.075;227891.798;0.010;7.091;35033861.962
118;database/maligno/maligno (18).tif;blue;89.950;27.742;29525.854;0.013;6.623;3607613.075
119;database/maligno/maligno (19).tif;blue;85.104;34.846;76325.138;0.014;6.643;8987528.065
120;database/maligno/maligno (20).tif;blue;84.289;41.235;107799.405;0.011;6.949;14220946.346
121;database/benigno/benigno (1).tif;gray;112.341;37.262;86941.951;0.013;6.739;12627210.927
122;database/benigno/benigno (2).tif;gray;81.082;25.110;21241.592;0.013;6.557;3187372.578
123;database/benigno/benigno (3).tif;gray;145.293;35.418;-13912.584;0.009;7.141;5553697.258
124;database/benigno/benigno (4).tif;gray;101.879;32.192;47862.939;0.011;6.822;6329953.879
125;database/benigno/benigno (5).tif;gray;101.101;26.633;5624.640;0.012;6.724;2010981.518
