id,file,channel,mean,deviation,3rd,uniformity,entropy,4th
1,benigno/benigno (1).tif,red,179.3318222222222,33.42196125323646,-22018.001682764334,0.011004092839506173,6.925679750670338,5401568.549176258
2,benigno/benigno (2).tif,red,151.98884444444445,36.98869869445445,-5323.748604619523,0.007695269135802473,7.233494083407301,5255588.291017041
3,benigno/benigno (3).tif,red,166.60640000000004,36.13651294644918,-35402.313414899865,0.009074259753086416,7.117665024287031,6860927.494894945
4,benigno/benigno (4).tif,red,179.12142222222224,34.01466499058501,-6806.067700060863,0.008324732839506178,7.097633256740146,3658067.7086019465
5,benigno/benigno (5).tif,red,147.2843111111111,31.813957986199302,-17938.03551346313,0.010498725925925925,6.925413791083383,3527766.6295351726
6,benigno/benigno (6).tif,red,182.68026666666665,41.51396115279239,-6434.911295923098,0.009367308641975311,7.066330922340183,7514386.523759679
7,benigno/benigno (7).tif,red,150.45608888888896,23.081351410292946,-8496.167320105069,0.013984553086419759,6.44182464351985,846500.7374537732
8,benigno/benigno (8).tif,red,175.50528888888886,47.96892807762691,-43139.265897825426,0.006364499753086421,7.467735619934072,14307914.674335973
9,benigno/benigno (9).tif,red,151.87839999999994,27.611451169075167,-15115.906047717946,0.011595468641975313,6.735508920595021,2017171.9564840847
10,benigno/benigno (10).tif,red,189.8854222222222,25.92256899005093,-17410.99182491464,0.013884179753086421,6.571962102008857,3038008.4363713576
11,benigno/benigno (11).tif,red,175.05351111111116,39.45173004099636,-28937.479250099772,0.00756356740740741,7.268924175154383,7431076.298585879
12,benigno/benigno (12).tif,red,181.79955555555557,43.57248672961493,-26493.96588231131,0.008225102222222226,7.205572616334321,9463689.353707392
13,benigno/benigno (13).tif,red,188.1945333333334,35.69994555090774,-33487.50719026118,0.008337216790123461,7.106845234527029,6291154.043118749
14,benigno/benigno (14).tif,red,162.21151111111112,43.20011544152384,-7789.215234855269,0.006711012345679008,7.411909701417785,9865250.998060344
15,benigno/benigno (15).tif,red,195.46671111111107,30.762255419857347,-12316.331491662479,0.009368896790123454,6.914322278032286,2825220.1896397215
16,benigno/benigno (16).tif,red,179.3636,42.546800578709146,-63260.022281619546,0.007416047407407408,7.309709754900262,12333051.946474275
